AADFYear,CP,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_km,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","1000","Scotland","Glasgow City","M8","TM","266200","666110","11","10","1.8","1.11","0","296","74408","1058","10480","2786","685","599","686","1520","1787","8063","94305"
"2000","1001","Scotland","Glasgow City","M8","TM","259700","666300","16","15","1.1","0.68","0","317","102788","822","11390","4013","837","913","1287","1901","1608","10559","125876"
"2000","1009","Scotland","Glasgow City","A8","PU","258500","664500","A8 Paisley Rd","A77","0.7","0.43","45","55","8772","740","1167","534","44","27","36","64","70","775","11509"
"2000","1010","Scotland","Glasgow City","A8","PU","258500","664640","A8 Morrison St","A77","0.6","0.37","63","74","9555","753","1833","193","46","44","51","51","125","510","12725"
"2000","1011","Scotland","Glasgow City","A8","PU","259560","664750","A8 Bridgegate","A89/A749","0.3","0.18","130","74","13523","166","1432","128","31","15","18","19","14","225","15420"
"2000","1027","Scotland","Glasgow City","A77","PU","258640","664720","A8","A814","0.3","0.18","319","142","13167","995","1970","157","47","59","48","30","39","380","16654"
"2000","1029","Scotland","Glasgow City","A80","PU","262900","666000","A8","M8","1.6","0.99","26","39","8753","481","938","97","25","9","8","6","7","152","10363"
"2000","1033","Scotland","Glasgow City","A82","PU","258100","666500","A804","A804","0.3","0.18","172","173","17120","835","1513","174","24","15","52","60","67","392","20033"
"2000","1038","Scotland","Glasgow City","A89","PU","260500","664770","A8","B763 Millerston Street","1.8","1.11","76","22","10508","886","1326","97","29","8","15","9","11","169","12911"
"2000","1090","Scotland","Glasgow City","A730","PU","259000","664200","A728","A8","0.8","0.49","131","85","10795","1332","1127","66","44","18","16","9","1","154","13493"
"2000","1091","Scotland","Glasgow City","A736","PU","251900","661200","A726","B762 Barrhead Road","0.6","0.37","69","81","14138","123","1847","175","38","40","40","52","69","414","16603"
"2000","1094","Scotland","Glasgow City","A739","PU","254600","668000","A814","A82","2.3","1.42","69","146","36007","359","3035","397","61","64","33","43","49","647","40194"
"2000","1097","Scotland","Glasgow City","A749","PU","261220","663320","LA Boundary","A74","1.7","1.05","41","62","11162","539","2593","167","65","39","19","15","56","361","14717"
"2000","1106","Scotland","Glasgow City","A804","PU","258040","666270","A814","A82","1.3","0.8","131","122","10022","165","1072","89","23","5","3","3","3","126","11507"
